INSERT INTO `alumno` VALUES ('20150001', 'Almaraz', 'Remigio', 'Manuel Alejandro', 'Ma Elena', 'priv macadamia', 'Huehuetoca', 54689, '5519093222', '5545746226', '15/16');
INSERT INTO `alumno` VALUES ('20150147', 'AGUIRRE', 'URREA', 'JUAN', 'XIMENA', 'Privada 107', 'Coacalco', 42907, '136560655.7', '136560655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150148', 'AGUIRRE', 'VEL', 'BEATRIZ', 'GUSTAVO', 'Privada 108', 'Tultitlan', 41119, '132561655.7', '132561655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150149', 'ALARCON', 'DE', 'LENGER', 'OMAR', 'Privada 109', 'Cuatitlan', 39331, '128562655.7', '128562655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150150', 'ALCAL', 'FORERO', 'RUTH', 'ALFREDO', 'Privada 110', 'Naucalpan', 37543, '124563655.7', '124563655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150151', 'ALDANA', 'SILVA', 'H', 'ELKIN', 'Privada 111', 'Huehuetoca', 35755, '120564655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150152', 'ALFONSO', 'GARC', 'RA', 'MAR', 'Privada 112', 'Coacalco', 33967, '116565655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150153', 'ALFONSO', 'PINEROS', 'LU', 'SERGIO', 'Privada 113', 'Tultitlan', 32179, '112566655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150154', '', 'MESA', 'OSCAR', 'MARTHA', 'Privada 114', 'Cuatitlan', 30391, '108567655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150155', '', 'S', 'JAIME', 'CARLOS', 'Privada 115', 'Huehuetoca', 28603, '104568655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150156', 'ALZATE', 'DE', 'GUTI', 'ADOLFO', 'Privada 116', 'Coacalco', 26815, '100569655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150157', 'AMADO', '', 'RUTH', 'NICOL', 'Privada 117', 'Tultitlan', 25027, '559120989', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150158', 'AMADO', 'BONILLA', 'WILLIAM', 'CLARA', 'Privada 118', 'Cuatitlan', 23239, '559122989', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150159', 'M', 'URIBE', 'DIEGO', 'ROSAMELIA', 'Privada 119', 'Naucalpan', 21451, '551122989', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150160', 'AMIN', 'GONZ', 'ARVID', 'ANDR', 'Privada 120', 'Huehuetoca', 19663, '548457655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150161', 'ANGEL', 'ARBEL', 'JUAN', 'SORAYA', 'Privada 121', 'Coacalco', 17875, '544458655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150162', 'ANGULO', 'ARRIETA', 'MIGUEL', 'CARLOS', 'Privada 122', 'Tultitlan', 16087, '540459655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150163', 'APARICIO', 'ARCHILA', 'JULIO', 'SEBASTI', 'Privada 123', 'Cuatitlan', 14299, '536460655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150164', 'APARICIO', 'B', 'LU', 'MIGUEL', 'Privada 124', 'Naucalpan', 12511, '532461655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150165', 'ARANGO', 'FERN', 'JUAN', 'JOHN', 'Privada 125', 'Huehuetoca', 10723, '528462655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150166', 'ARANGO', 'REND', 'JOHN', 'ANGELA', 'Privada 126', 'Coacalco', 58999, '524463655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150167', 'ARANGUREN', 'VERA', 'PABLO', 'KAREN', 'Privada 127', 'Tultitlan', 57211, '520464655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150168', 'ARBEL', 'GONZ', 'HERNANDO', 'JULIAN', 'Privada 128', 'Cuatitlan', 55423, '516465655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150169', 'ARBEL', 'PINEDA', 'CLAUDIA', 'MIGUEL', 'Privada 129', 'Naucalpan', 53635, '512466655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150170', 'ARCILA', 'ARROYAVE', 'SEBASTI', 'PAOLA', 'Privada 130', 'Huehuetoca', 51847, '508467655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150171', 'ARCILA', 'ARROYAVE', 'JULIAN', 'CARLOS', 'Privada 131', 'Coacalco', 50059, '504468655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150172', 'ARDILA', 'FRIAS', 'HELI', 'DIANA', 'Privada 132', 'Tultitlan', 48271, '500469655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150173', 'ARDILA', 'SOLANO', 'GABRIEL', 'JAIME', 'Privada 133', 'Cuatitlan', 46483, '496470655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150174', 'AREVALO', 'MORENO', 'ALDEMAR', 'MARGARITA', 'Privada 134', 'Huehuetoca', 44695, '492471655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150175', 'ARIAS', 'GRANADOS', 'LU', 'WILLIAM', 'Privada 135', 'Coacalco', 42907, '488472655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150176', 'ARIAS', 'LOZANO', 'MAR', 'ADRIANA', 'Privada 136', 'Tultitlan', 41119, '559120989', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150177', 'ARISTIZ', 'ESCOBAR', 'OTTO', 'MARGARITA', 'Privada 137', 'Cuatitlan', 39331, '559122989', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150178', 'ARISTIZ', 'GIRALDO', 'FRANCISCO', 'VALLEJO', 'Privada 138', 'Naucalpan', 37543, '551122989', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150179', 'ARISTIZ', 'SALAZAR', 'ISABEL', 'SANDRA', 'Privada 139', 'Huehuetoca', 35755, '548457655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150180', 'ARIZA', 'C', 'ALEXANDRA', 'MARIO', 'Privada 140', 'Coacalco', 33967, '544458655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150181', 'ARROYAVE', 'DUQUE', 'N', 'SAMUEL', 'Privada 141', 'Tultitlan', 32179, '540459655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150182', 'ARROYAVE', 'NARANJO', 'LUZ', 'CARLOS', 'Privada 142', 'Cuatitlan', 30391, '536460655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150183', 'ATEHORT', 'DAZA', 'JULI', 'MAR', 'Privada 143', 'Naucalpan', 28603, '532461655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150184', 'AVALO', 'GONZ', 'LU', 'MARGGIE', 'Privada 144', 'Huehuetoca', 42907, '528462655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150185', 'AVEIRO', 'GIRALDO', 'MARIO', 'DIANA', 'Privada 145', 'Coacalco', 41119, '524463655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150186', 'AVILA', 'DE', 'LA', 'ANDR', 'Privada 146', 'Tultitlan', 39331, '520464655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150187', 'AYALA', 'VILLEGAS', 'AURA', 'CARMEN', 'Privada 147', 'Cuatitlan', 37543, '516465655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150188', 'BAENA', 'SALDARRIAGA', 'JOS', 'ELIANA', 'Privada 148', 'Naucalpan', 35755, '512466655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150189', 'BALLESTEROS', 'CAJAMARCA', 'PEDRO', 'LAURA', 'Privada 149', 'Huehuetoca', 33967, '508467655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150190', 'BALLESTEROS', 'CAJAMARCA', 'ALBERTO', 'COWAN', 'Privada 150', 'Coacalco', 32179, '504468655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150191', 'BARRERA', 'ACOSTA', 'CLAUDIA', 'VALENTINA', 'Privada 151', 'Tultitlan', 30391, '500469655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150192', 'BARRERA', 'OCAMPO', 'MARTHA', 'OIBAR', 'Privada 152', 'Cuatitlan', 28603, '496470655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150193', 'BARRERA', 'P', 'CLAUDIA', 'MARTHA', 'Privada 153', 'Huehuetoca', 26815, '492471655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150194', 'BARRETO', 'ACEVEDO', 'MARCO', 'MARTHA', 'Privada 154', 'Coacalco', 25027, '488472655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150195', 'BARR', 'CRUZ', 'MELBA', 'HELMUT', 'Privada 155', 'Tultitlan', 23239, '484473655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150196', 'BARR', 'V', 'LIGIA', 'JOS', 'Privada 156', 'Cuatitlan', 21451, '480474655.7', '480474655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150197', 'BARROS', 'PATERNINA', 'RAFAEL', 'ANDREA', 'Privada 157', 'Naucalpan', 19663, '476475655.7', '476475655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150198', 'BAUTISTA', 'DE', 'MONTA', 'GABRIEL', 'Privada 158', 'Huehuetoca', 17875, '472476655.7', '472476655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150199', 'BAYONA', 'ANGEL', 'JORGE', 'CARMELITA', 'Privada 159', 'Coacalco', 16087, '468477655.7', '468477655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150200', 'BEDOYA', 'BEDOYA', 'FANNY', 'WILLIAM', 'Privada 160', 'Tultitlan', 50059, '464478655.7', '464478655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150201', 'BEDOYA', 'CORREA', 'LUZ', 'DIANA', 'Privada 161', 'Cuatitlan', 48271, '460479655.7', '460479655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150202', 'BEDOYA', 'DE', 'OSORIO', 'OVIDIO', 'Privada 162', 'Naucalpan', 46483, '456480655.7', '456480655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150203', 'BEDOYA', 'GARC', 'AMANDA', 'MAR', 'Privada 163', 'Huehuetoca', 44695, '452481655.7', '452481655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150204', 'BEDOYA', 'ORTEGA', 'NIDIA', 'MAR', 'Privada 164', 'Coacalco', 42907, '448482655.7', '448482655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150205', 'BELALC', 'BORRERO', 'LUCRECIA', 'MAR', 'Privada 165', 'Tultitlan', 41119, '444483655.7', '444483655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150206', 'BELTR', 'ALVARADO', 'GISELLA', 'SONIA', 'Privada 166', 'Cuatitlan', 39331, '440484655.7', '440484655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150207', 'BELTR', 'BOCANEGRA', 'MAURICIO', 'JUAN', 'Privada 167', 'Naucalpan', 37543, '436485655.7', '436485655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150208', 'BELTR', 'NIETO', 'CARLOS', 'LEIDY', 'Privada 168', 'Huehuetoca', 35755, '432486655.7', '432486655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150209', 'BEN', 'CAICEDO', 'MARGARITA', 'NAYIBE', 'Privada 169', 'Coacalco', 33967, '428487655.7', '428487655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150210', 'BEN', 'C', 'ELBA', 'VILMA', 'Privada 170', 'Tultitlan', 32179, '424488655.7', '424488655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150211', 'BERM', 'BARR', 'NAYIBE', 'ADRIANA', 'Privada 171', 'Cuatitlan', 30391, '420489655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150212', 'BERRIO', 'SIERRA', 'DENERING', 'JOS', 'Privada 172', 'Huehuetoca', 28603, '416490655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150213', 'BETANCOUR', 'CASTA', 'EDWIN', 'HELMER', 'Privada 173', 'Coacalco', 26815, '412491655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150214', 'BETANCOURT', 'MOTTA', 'JORGE', 'JULIAN', 'Privada 174', 'Tultitlan', 25027, '408492655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150215', 'BIOJO', 'GUEVARA', 'DANIEL', 'JAVIER', 'Privada 175', 'Cuatitlan', 23239, '404493655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150216', 'BLANCO', 'MAYORGA', 'CARLOS', 'DIANA', 'Privada 176', 'Naucalpan', 21451, '400494655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150217', 'BOLA', 'DE', 'QUINTERO', 'ALVARO', 'Privada 177', 'Huehuetoca', 19663, '396495655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150218', 'BOLA', 'MORENO', 'JUAN', 'MIGUEL', 'Privada 178', 'Coacalco', 17875, '392496655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150219', 'BOL', 'L', 'LUZ', 'ALEXANDER', 'Privada 179', 'Tultitlan', 16087, '388497655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150220', 'B', 'PAULA', 'ALEJANDRA', 'PIEDAD', 'Privada 180', 'Cuatitlan', 54122, '384498655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150221', 'PABLO', 'TITO', 'BONILLA', 'VICTOR', 'Privada 181', 'Naucalpan', 5199, '380499655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150222', 'RAM', 'JHONATTAN', '', 'ANDR', 'Privada 182', 'Huehuetoca', 58999, '376500655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150223', 'BOTERO', 'MEJ', 'GUILLERMO', 'DIEGO', 'Privada 183', 'Coacalco', 57211, '372501655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150224', 'BOTERO', 'PINEDA', 'JUAN', 'ALEX', 'Privada 184', 'Tultitlan', 55423, '368502655.7', '368502655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150225', 'BRAVO', 'GRISALES', 'LU', 'BLANCA', 'Privada 185', 'Cuatitlan', 53635, '364503655.7', '364503655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150226', 'BRAVO', 'PEREA', 'ALEJANDRO', 'MERCEDES', 'Privada 186', 'Naucalpan', 51847, '360504655.7', '360504655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150227', 'BRICE', 'CORREA', 'JUAN', 'ADRIANA', 'Privada 187', 'Huehuetoca', 50059, '356505655.7', '356505655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150228', 'BRICE', 'MEDINA', 'JOS', 'RAM', 'Privada 188', 'Coacalco', 48271, '352506655.7', '352506655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150229', 'BRICE', 'MORENO', 'ANDREA', 'JUAN', 'Privada 189', 'Tultitlan', 46483, '348507655.7', '348507655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150230', 'BROCHERO', 'MARTHA', 'LUC', 'NATXI', 'Privada 190', 'Cuatitlan', 44695, '344508655.7', '344508655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150231', 'BUENO', 'PATI', 'MARIO', 'CARLOS', 'Privada 191', 'Huehuetoca', 54122, '340509655.7', '340509655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150232', 'BULLA', 'OBANDO', 'HENRY', 'MELISA', 'Privada 192', 'Coacalco', 5199, '336510655.7', '336510655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150233', 'BUSTILLOS', 'CASTRO', 'JOS', 'ALEXANDER', 'Privada 193', 'Tultitlan', 58999, '332511655.7', '332511655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150234', 'CABANA', 'GONZ', 'SONIA', 'MARTHA', 'Privada 194', 'Cuatitlan', 57211, '328512655.7', '328512655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150235', 'CABRA', 'TORRES', 'MAR', 'CORREA', 'Privada 195', 'Naucalpan', 55423, '324513655.7', '324513655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150236', 'C', 'ARBEL', 'LU', 'LIZETTE', 'Privada 196', 'Huehuetoca', 53635, '320514655.7', '320514655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150237', 'C', 'VARGAS', 'ALEX', 'HERNAN', 'Privada 197', 'Coacalco', 51847, '316515655.7', '316515655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150238', 'CADAVID', 'PENA', 'HUMBERTO', 'AUGUSTO', 'Privada 198', 'Tultitlan', 50059, '312516655.7', '312516655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150239', 'CAICEDO', 'BERNAL', 'ANA', 'CAROL', 'Privada 199', 'Cuatitlan', 48271, '308517655.7', '308517655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150240', 'CAJIAO', 'PAZ', 'ADRIANA', 'AUGUSTO', 'Privada 200', 'Naucalpan', 46483, '304518655.7', '304518655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150241', 'CALDAS', 'DE', 'DUE', 'ROBINSON', 'Privada 201', 'Huehuetoca', 44695, '300519655.7', '300519655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150242', 'CALDAS', 'RODR', 'MAR', 'JONATHAN', 'Privada 202', 'Coacalco', 42907, '296520655.7', '296520655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150243', 'CALDER', 'LUC', 'CONSUELO', 'MAURICIO', 'Privada 203', 'Tultitlan', 41119, '292521655.7', '292521655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150244', 'CALDER', 'LINARES', 'CLAUDIA', 'JORGE', 'Privada 204', 'Cuatitlan', 39331, '288522655.7', '288522655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150245', 'CALDER', 'MENDOZA', 'ROSMERY', 'LORNA', 'Privada 205', 'Naucalpan', 37543, '284523655.7', '284523655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150246', 'CALDER', 'MONTOYA', 'JORGE', 'JHON', 'Privada 206', 'Huehuetoca', 35755, '280524655.7', '280524655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150247', 'CALLE', 'ORTIZ', 'MAURICIO', 'JUAN', 'Privada 207', 'Coacalco', 33967, '276525655.7', '276525655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150248', 'CAMACHO', 'LAVERDE', 'CRISTINA', 'LEAL', 'Privada 208', 'Tultitlan', 32179, '272526655.7', '272526655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150249', 'CAMACHO', 'LAVERDE', 'LILIANA', 'JORGE', 'Privada 209', 'Cuatitlan', 30391, '268527655.7', '268527655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150250', 'CAMACHO', 'OSSA', 'OLGA', 'ALEJANDRO', 'Privada 210', 'Huehuetoca', 28603, '264528655.7', '264528655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150251', 'JIM', 'ESCOBAR', 'MARTHA', 'VIVERO', 'Privada 211', 'Coacalco', 26815, '260529655.7', '260529655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150252', 'JIM', 'MONTOYA', 'MAR', 'JHON', 'Privada 212', 'Tultitlan', 25027, '256530655.7', '256530655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150253', 'JIM', 'MORA', 'JOS', 'OMAR', 'Privada 213', 'Cuatitlan', 23239, '252531655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150254', 'JIM', 'OSPINA', 'ALBA', 'MIREYA', 'Privada 214', 'Naucalpan', 21451, '248532655.7', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150255', 'JIM', 'VENEGAS', 'MIGUEL', 'MAR', 'Privada 215', 'Huehuetoca', 19663, '244533655.7', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150256', 'JIM', 'VIVEROS', 'EICENOBER', 'JOS', 'Privada 216', 'Coacalco', 17875, '240534655.7', '520464655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150257', 'JURADO', 'VARON', 'JANIDCE', 'MAR', 'Privada 217', 'Tultitlan', 16087, '236535655.7', '516465655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150258', 'LASSO', 'LOZANO', 'OSCAR', 'REINALDO', 'Privada 218', 'Cuatitlan', 14299, '232536655.7', '512466655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150259', 'LEBOLO', 'RODR', 'ROCIO', 'ALEXANDER', 'Privada 219', 'Naucalpan', 12511, '228537655.7', '508467655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150260', 'LEGUIZAMON', 'FLOREZ', 'GUILLERMO', 'SERGIO', 'Privada 220', 'Huehuetoca', 10723, '224538655.7', '504468655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150261', 'LEMOS', 'CORRALES', 'LU', 'FERNANDO', 'Privada 221', 'Coacalco', 58999, '220539655.7', '500469655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150262', 'LEMOS', 'CORRALES', 'MAR', 'ALVARO', 'Privada 222', 'Tultitlan', 57211, '216540655.7', '496470655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150263', 'LINARES', 'MONTES', 'JUAN', 'ALIETH', 'Privada 223', 'Cuatitlan', 55423, '212541655.7', '492471655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150264', 'LIZARRALDE', 'MART', 'FELIPE', 'ANGELA', 'Privada 224', 'Naucalpan', 53635, '208542655.7', '488472655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150265', 'LOMBANA', '', 'JUAN', 'JAVIER', 'Privada 225', 'Huehuetoca', 51847, '204543655.7', '484473655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150266', 'LONDO', 'ARBEL', 'CESAR', 'PEDRO', 'Privada 226', 'Coacalco', 50059, '200544655.7', '200544655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150267', 'LONDO', 'CUARTAS', 'JORGE', 'MAR', 'Privada 227', 'Tultitlan', 48271, '196545655.7', '196545655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150268', 'LONDO', 'DE', 'SALAZAR', 'MIGUEL', 'Privada 228', 'Cuatitlan', 46483, '192546655.7', '192546655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150269', 'LONDO', 'GARC', 'MAR', 'RODRIGO', 'Privada 229', 'Huehuetoca', 44695, '188547655.7', '188547655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150270', 'LONDO', 'RESTREPO', 'JORGE', 'GUSTAVO', 'Privada 230', 'Coacalco', 42907, '184548655.7', '184548655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150271', 'LONDO', 'ZAPATA', 'JHON', 'LEONARDO', 'Privada 231', 'Tultitlan', 41119, '180549655.7', '180549655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150272', 'L', 'GARC', 'DORIAN', 'GLADYS', 'Privada 232', 'Cuatitlan', 39331, '176550655.7', '176550655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150273', 'L', 'GARC', 'YAMILE', 'MIGUEL', 'Privada 233', 'Naucalpan', 37543, '172551655.7', '172551655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150274', 'L', 'HURTADO', 'ALBARO', 'JOS', 'Privada 234', 'Huehuetoca', 35755, '168552655.7', '168552655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150275', 'L', 'L', 'CARLOS', 'OSCAR', 'Privada 235', 'Coacalco', 33967, '164553655.7', '164553655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150276', 'L', 'OLARTE', 'JHON', 'FERNANDO', 'Privada 236', 'Tultitlan', 32179, '160554655.7', '160554655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150277', 'L', 'QUINTERO', 'GLADYS', 'MAURICIO', 'Privada 237', 'Cuatitlan', 30391, '156555655.7', '156555655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150278', 'L', 'SANCLEMENTE', 'CAMILO', 'RICARDO', 'Privada 238', 'Naucalpan', 28603, '152556655.7', '152556655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150279', 'LOZADA', 'PLAZAS', 'JORGE', 'EMMANUEL', 'Privada 239', 'Huehuetoca', 42907, '148557655.7', '148557655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150280', 'HENAO', 'MEDINA', 'MARCO', 'PEDRO', 'Privada 240', 'Coacalco', 41119, '144558655.7', '144558655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150281', 'HENAO', 'MEJ', 'JUAN', 'LILIANA', 'Privada 241', 'Tultitlan', 39331, '140559655.7', '140559655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150282', 'HERNANDEZ', 'LU', 'HERNANDO', 'HELBER', 'Privada 242', 'Cuatitlan', 37543, '136560655.7', '136560655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150283', 'HERNANDEZ', 'BLANCO', 'OSCAR', 'SANDRA', 'Privada 243', 'Naucalpan', 35755, '132561655.7', '132561655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150284', 'HERNANDEZ', 'BUITRAGO', 'JOS', 'OLIVER', 'Privada 244', 'Huehuetoca', 33967, '128562655.7', '128562655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150285', 'HERNANDEZ', 'DE', 'MORENO', 'ROSALBA', 'Privada 245', 'Coacalco', 32179, '124563655.7', '124563655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150286', 'HERNANDEZ', 'PANIAGUA', 'ISABEL', 'MAR', 'Privada 246', 'Tultitlan', 30391, '120564655.7', '120564655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150287', 'HERNANDEZ', 'ROMERO', 'MIGUEL', 'PAULA', 'Privada 247', 'Cuatitlan', 28603, '116565655.7', '116565655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150288', 'HERRERA', 'BAPTISTE', 'MAR', 'ERNESTO', 'Privada 248', 'Huehuetoca', 26815, '112566655.7', '112566655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150289', 'HERRERA', 'CUBILLOS', 'HERNANDO', 'CARLOS', 'Privada 249', 'Coacalco', 25027, '108567655.7', '108567655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150290', 'HERRERA', 'DE', 'REMARCHUK', 'BERTHA', 'Privada 250', 'Tultitlan', 23239, '104568655.7', '104568655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150291', 'HERRERA', 'MONTOYA', 'BEATRIZ', 'MIGUEL', 'Privada 251', 'Cuatitlan', 21451, '100569655.7', '532461655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150292', 'HERRERA', 'RIVEROS', 'JAVIER', 'CAROLINA', 'Privada 252', 'Naucalpan', 19663, '559120989', '528462655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150293', 'HINCAPI', 'VEGA', 'CHARLES', 'KELLY', 'Privada 253', 'Huehuetoca', 17875, '559122989', '524463655.7', '15/16');
INSERT INTO `alumno` VALUES ('20150294', 'HOLGUIN', 'SERNA', 'CARLOS', 'MAGDA', 'Privada 254', 'Coacalco', 16087, '551122989', '520464655.7', '15/16');
